t,plant,axis,mstruct,Total_Transpiration
0,1,MS,0.32272161600000004,NA
4,1,MS,0.32352840776285996,0.00018419305144141702
8,1,MS,0.32446446250571159,6.395284540022701e-05
12,1,MS,0.32551017343915645,0.00032626248573438003
16,1,MS,0.32665409282795543,0.0027266208306770856
20,1,MS,0.32795052629810678,0.0029089120021218002
24,1,MS,0.32936048582902083,0.000163741993890622
28,1,MS,0.33083210004586633,0.00011340901502302701
32,1,MS,0.3323396008351997,0.00012797452625887702
36,1,MS,0.33389580037783556,0.0029231058601045532
40,1,MS,0.33554778774762073,0.004705364033477771
44,1,MS,0.33730822842366348,0.0038851982406106324
48,1,MS,0.33914596713137174,0.000378112631328415
